iter	Passed	Remaining
490	724	751
491	725	748
492	726	746
493	727	744
494	728	742
495	732	744
496	734	742
497	735	741
498	736	739
499	737	737
500	737	735
501	738	732
502	739	730
503	740	728
504	741	726
505	742	724
506	742	722
507	744	720
508	747	720
509	748	718
510	749	716
511	749	714
512	751	713
513	752	711
514	753	709
515	753	707
516	754	705
517	755	703
518	756	701
519	757	699
520	760	699
521	763	698
522	763	696
523	766	696
524	767	694
525	768	692
526	768	690
527	769	688
528	770	686
529	772	685
530	773	683
531	775	682
532	776	680
533	777	678
534	779	677
535	780	675
536	781	673
537	782	671
538	783	669
539	784	667
540	785	666
541	786	664
542	786	662
543	787	660
544	790	660
545	791	658
546	793	656
547	794	655
548	794	653
549	796	651
550	796	649
551	798	647
552	799	645
553	799	643
554	800	642
555	801	640
556	802	638
557	803	636
558	806	635
559	807	634
560	808	632
561	809	630
562	809	628
563	810	626
564	811	625
565	812	623
566	813	621
567	814	619
568	815	617
569	816	615
570	817	614
571	818	612
572	819	610
573	821	609
574	822	607
575	823	606
576	824	604
577	825	602
578	826	601
579	827	599
580	828	597
581	828	595
582	829	593
583	830	591
584	831	589
585	832	588
586	833	586
587	834	584
588	836	583
589	837	581
590	838	580
591	839	578
592	840	576
593	841	575
594	842	573
595	843	571
596	843	569
597	844	567
598	845	566
599	846	564
600	847	562
601	848	560
602	856	563
603	857	562
604	858	560
605	859	558
606	860	557
607	861	555
608	862	553
609	863	552
610	864	550
611	866	549
612	867	547
613	868	546
614	870	544
615	870	542
616	871	541
617	872	539
618	873	537
619	874	535
620	875	534
621	876	532
622	877	530
623	878	529
624	879	527
625	880	526
626	881	524
627	882	522
628	883	521
629	885	519
630	886	518
631	887	516
632	887	514
633	888	512
634	889	511
635	890	509
636	891	507
637	892	506
638	893	504
639	900	506
640	902	505
641	904	504
642	904	502
643	905	500
644	906	499
645	909	498
646	910	496
647	911	495
648	912	493
649	913	491
650	914	490
651	916	489
652	918	488
653	919	486
654	920	484
655	922	483
656	922	481
657	924	480
658	926	479
659	928	478
660	930	477
661	931	475
662	931	473
663	932	471
664	935	471
665	935	469
666	936	467
667	942	468
668	943	466
669	944	465
670	946	464
671	947	462
672	949	461
673	950	459
674	951	457
675	951	456
676	952	454
677	957	454
678	959	453
679	960	452
680	961	450
681	962	448
682	963	447
683	965	446
684	966	444
685	967	442
686	969	441
687	971	440
688	971	438
689	973	437
690	975	436
691	976	434
692	977	433
693	978	431
694	979	429
695	980	428
696	981	426
697	982	425
698	984	423
699	986	422
700	988	421
701	989	420
702	991	418
703	993	417
704	994	416
705	995	414
706	998	413
707	1000	412
708	1002	411
709	1003	409
710	1004	408
711	1005	406
712	1007	405
713	1008	403
714	1009	402
715	1009	400
716	1012	399
717	1014	398
718	1015	397
719	1017	395
720	1018	394
721	1019	392
722	1020	391
723	1021	389
724	1022	387
725	1024	386
726	1025	384
727	1025	383
728	1032	383
729	1033	382
730	1034	380
731	1035	379
732	1036	377
733	1038	376
734	1039	374
735	1040	373
736	1042	371
737	1045	371
738	1046	369
739	1048	368
740	1049	366
741	1050	365
742	1051	363
743	1052	362
744	1053	360
745	1054	359
746	1055	357
747	1056	355
748	1058	354
749	1062	354
750	1064	352
751	1065	351
752	1066	349
753	1068	348
754	1069	346
755	1075	347
756	1078	346
757	1079	344
758	1080	343
759	1081	341
760	1087	341
761	1093	341
762	1097	340
763	1098	339
764	1099	337
765	1100	336
766	1105	335
767	1107	334
768	1109	333
769	1110	331
770	1111	330
771	1112	328
772	1115	327
773	1115	325
774	1117	324
775	1120	323
776	1125	323
777	1126	321
778	1127	319
779	1128	318
780	1129	316
781	1131	315
782	1135	314
783	1138	313
784	1140	312
785	1141	310
786	1142	309
787	1143	307
788	1145	306
789	1146	304
790	1150	304
791	1152	302
792	1154	301
793	1155	299
794	1156	298
795	1157	296
796	1159	295
797	1160	293
798	1164	292
799	1165	291
800	1167	290
801	1169	288
802	1170	287
803	1171	285
804	1172	283
805	1172	282
806	1173	280
807	1175	279
808	1175	277
809	1178	276
810	1179	274
811	1181	273
812	1182	272
813	1184	270
814	1185	269
815	1186	267
816	1187	265
817	1188	264
818	1189	262
819	1190	261
820	1191	259
821	1192	258
822	1193	256
823	1195	255
824	1196	253
825	1199	252
826	1200	251
827	1201	249
828	1203	248
829	1203	246
830	1204	244
831	1207	243
832	1217	244
833	1218	242
834	1219	241
835	1220	239
836	1221	237
837	1222	236
838	1227	235
839	1228	234
840	1229	232
841	1231	230
842	1232	229
843	1233	228
844	1235	226
845	1236	225
846	1237	223
847	1238	222
848	1240	220
849	1241	219
850	1242	217
851	1243	216
852	1245	214
853	1246	213
854	1247	211
855	1248	210
856	1249	208
857	1251	207
858	1260	206
859	1262	205
860	1263	203
861	1264	202
862	1265	200
863	1266	199
864	1269	198
865	1270	196
866	1272	195
867	1274	193
868	1275	192
869	1277	190
870	1278	189
871	1279	187
872	1280	186
873	1283	185
874	1285	183
875	1286	182
876	1288	180
877	1289	179
878	1290	177
879	1291	176
880	1292	174
881	1293	172
882	1294	171
883	1295	169
884	1295	168
885	1299	167
886	1301	165
887	1302	164
888	1303	162
889	1304	161
890	1305	159
891	1306	158
892	1308	156
893	1309	155
894	1310	153
895	1311	152
896	1312	150
897	1313	149
898	1315	147
899	1318	146
900	1319	145
901	1320	143
902	1321	141
903	1322	140
904	1323	138
905	1324	137
906	1324	135
907	1325	134
908	1329	133
909	1330	131
910	1331	130
911	1332	128
912	1333	127
913	1334	125
914	1335	124
915	1336	122
916	1337	121
917	1338	119
918	1339	118
919	1340	116
920	1341	115
921	1342	113
922	1343	112
923	1344	110
924	1345	109
925	1346	107
926	1347	106
927	1348	104
928	1348	103
929	1349	101
930	1350	100
931	1351	98
932	1352	97
933	1353	95
934	1354	94
935	1355	92
936	1356	91
937	1357	89
938	1358	88
939	1359	86
940	1360	85
941	1361	83
942	1362	82
943	1363	80
944	1364	79
945	1365	77
946	1366	76
947	1366	74
948	1367	73
949	1368	72
950	1369	70
951	1371	69
952	1372	67
953	1373	66
954	1374	64
955	1375	63
956	1376	61
957	1377	60
958	1378	58
959	1379	57
960	1380	56
961	1381	54
962	1382	53
963	1383	51
964	1383	50
965	1384	48
966	1385	47
967	1386	45
968	1388	44
969	1390	42
970	1390	41
971	1391	40
972	1393	38
973	1394	37
974	1397	35
975	1398	34
976	1399	32
977	1400	31
978	1401	30
979	1402	28
980	1404	27
981	1405	25
982	1406	24
983	1407	22
984	1408	21
985	1409	20
986	1410	18
987	1410	17
988	1411	15
989	1413	14
990	1413	12
991	1414	11
992	1415	9
993	1418	8
994	1420	7
995	1421	5
996	1422	4
997	1423	2
998	1423	1
999	1424	0
